name,dogFriendly,groceryStores,neighborsFriendly,parkingEasy,yard,communityEvents,sidewalks,walkNight,fiveYears,kidsOutside,car,restaurants,streets,holiday,quiet,wildlife
neighborhood29,0.74,0.33,0.42,0.15,0.08,0.84,0.79,0.29,0.95,0.55,0.12,0.86,0.41,0.87,0.30,0.23
neighborhood30,0.36,0.68,0.73,0.77,0.22,0.17,0.87,0.91,0.33,0.73,0.71,0.83,0.12,0.42,0.41,0.77
neighborhood31,0.58,0.96,0.15,0.61,0.87,0.63,0.67,0.95,0.56,0.21,0.37,0.67,0.32,0.14,0.49,0.99
neighborhood32,0.80,0.64,0.89,0.35,0.06,0.14,0.87,0.30,0.90,0.58,0.01,0.44,0.11,0.82,0.55,0.91
neighborhood33,0.15,0.47,0.76,0.33,0.78,0.57,0.37,0.71,0.48,0.35,0.06,0.75,0.20,0.42,0.57,0.52
neighborhood34,0.80,0.47,0.74,0.71,0.62,0.22,0.36,0.63,0.21,0.92,0.17,0.57,0.82,0.48,0.19,0.24
neighborhood35,0.53,0.04,0.40,0.50,0.76,0.94,0.97,0.81,0.38,0.69,0.70,0.09,0.90,0.39,0.73,0.05
neighborhood36,0.29,0.23,0.36,0.39,0.36,0.27,0.33,0.00,0.71,0.25,0.06,0.86,0.32,0.98,0.20,0.65
neighborhood37,0.61,0.20,0.79,0.91,0.06,0.38,0.55,0.48,0.87,0.57,0.35,0.65,0.03,0.02,0.70,0.34
neighborhood38,0.33,0.48,0.77,0.99,0.83,0.14,0.02,0.80,0.67,0.31,0.35,0.66,0.44,0.36,0.52,0.37
neighborhood39,0.77,0.07,0.91,0.37,0.85,0.28,0.56,0.52,0.32,0.77,0.69,0.72,0.57,0.31,0.35,0.22
neighborhood40,0.29,0.52,0.65,0.81,0.69,0.17,0.78,0.51,0.89,0.21,0.36,0.62,0.98,0.60,0.72,0.20
neighborhood41,0.25,0.01,0.44,0.80,0.82,0.81,0.97,0.09,0.25,0.68,0.20,0.21,0.24,0.07,0.90,0.97
neighborhood42,0.47,0.52,0.63,0.17,0.91,0.07,0.10,0.36,0.44,0.90,0.09,0.48,0.29,0.96,0.90,0.28
neighborhood43,0.86,0.04,0.56,0.37,0.87,0.11,0.42,0.26,0.14,0.66,0.28,0.08,0.85,0.48,0.06,0.46
neighborhood44,0.70,0.53,0.38,0.71,0.36,0.14,0.59,0.22,0.25,0.55,0.72,0.40,0.15,0.39,0.18,0.00
neighborhood45,0.76,0.93,0.19,0.91,0.34,0.88,0.60,0.97,0.33,0.69,0.69,0.48,0.35,0.44,0.64,0.23
neighborhood46,0.33,0.77,0.89,0.38,0.69,0.22,0.03,0.79,0.27,0.43,0.09,0.53,0.82,0.62,0.75,0.13
neighborhood47,0.89,0.84,0.71,0.40,0.96,0.05,0.17,0.24,0.46,0.21,0.56,0.74,0.49,0.93,0.63,0.86
neighborhood48,0.22,0.92,0.71,0.61,0.03,0.99,0.83,0.86,0.39,0.73,0.20,0.97,0.05,0.62,0.88,0.35
neighborhood49,0.18,0.59,0.62,0.45,0.10,0.78,0.49,0.55,0.22,0.14,0.98,0.89,0.34,0.89,0.33,0.59
neighborhood50,0.57,0.06,0.43,0.23,0.78,0.90,0.90,0.52,0.84,0.36,0.47,0.10,0.70,0.18,0.46,0.12
neighborhood51,0.82,0.06,0.11,0.66,0.42,0.29,0.09,0.87,0.58,0.54,0.61,0.65,0.51,0.63,0.35,0.92
neighborhood52,0.55,0.02,0.72,0.88,0.17,0.91,0.11,0.13,0.13,0.15,0.68,0.20,0.31,0.92,0.92,0.91
neighborhood53,0.42,0.14,0.48,0.31,0.08,0.49,0.95,0.12,0.68,0.26,0.10,0.57,0.38,0.38,0.87,0.20
neighborhood54,0.01,0.33,0.84,0.15,0.07,0.23,0.37,0.45,0.54,0.69,0.03,0.42,0.41,0.68,0.33,0.67
neighborhood55,0.94,0.49,0.50,0.30,0.11,0.29,0.35,0.72,0.56,0.97,0.58,0.05,0.77,0.07,0.97,0.08
neighborhood56,0.08,0.26,0.09,0.02,0.34,0.63,0.48,0.89,0.88,0.66,0.96,0.22,0.23,0.10,0.39,0.55
neighborhood57,0.90,0.79,0.15,0.44,0.13,0.17,0.42,0.86,0.87,0.43,0.75,0.75,0.16,0.78,0.87,0.04
neighborhood58,0.73,0.12,0.19,0.11,0.58,0.44,0.74,0.18,0.02,0.11,0.84,0.93,0.86,0.06,0.20,0.50
neighborhood59,0.29,0.71,0.74,0.18,0.67,0.18,0.13,0.66,0.57,0.36,0.74,0.39,0.91,0.06,0.61,0.54
neighborhood60,0.74,0.32,0.48,0.29,0.38,0.53,0.87,0.88,0.40,0.02,0.06,0.24,0.33,0.20,0.66,0.50
neighborhood61,0.81,0.26,0.59,0.08,0.34,0.69,0.99,0.86,0.95,0.99,0.99,0.45,0.38,0.43,0.22,0.61
neighborhood62,0.46,0.72,0.76,0.95,0.57,0.27,0.42,0.89,0.47,0.22,0.53,0.44,0.72,0.82,0.86,0.92
neighborhood63,0.09,0.11,0.09,0.77,0.55,0.89,0.13,0.11,0.15,0.11,0.94,0.12,0.03,0.06,0.01,0.67
neighborhood64,0.41,1.00,0.44,0.82,0.56,0.78,0.41,0.59,0.95,0.15,0.88,0.63,0.98,0.91,0.18,0.42
neighborhood65,0.65,0.73,0.82,0.42,0.29,0.48,0.27,0.30,0.24,0.48,0.59,0.91,0.25,0.93,0.26,0.80
neighborhood66,0.43,0.12,0.77,0.86,0.80,0.89,0.30,0.83,0.07,0.98,0.35,0.40,0.11,0.49,0.61,0.88
neighborhood67,0.35,0.76,0.32,0.97,0.13,0.54,0.01,0.66,0.66,0.97,0.53,0.41,0.86,0.96,0.59,0.93
neighborhood68,0.05,0.14,0.70,0.86,0.01,0.03,0.88,0.69,0.37,0.08,0.03,0.91,0.47,0.87,0.23,0.67
neighborhood69,0.05,0.31,0.01,0.65,0.58,0.05,0.77,0.47,0.75,0.60,0.17,0.77,0.92,0.48,0.37,0.80
neighborhood70,0.94,0.46,0.37,0.23,0.25,0.84,0.68,0.08,0.61,0.83,0.63,0.54,0.95,0.05,0.77,0.60
neighborhood71,0.33,0.81,0.20,0.23,0.22,0.95,0.83,0.45,0.05,0.33,0.16,0.11,0.75,0.04,0.85,0.41
neighborhood72,0.87,0.77,0.19,0.04,0.38,0.34,0.18,0.01,0.53,0.84,0.36,0.88,0.57,0.26,0.93,0.94
neighborhood73,0.38,0.12,0.75,0.92,0.64,0.08,0.07,0.93,0.59,0.26,0.41,0.86,0.44,0.19,0.30,0.98
neighborhood74,0.59,0.75,0.14,0.64,0.09,0.12,0.04,0.70,0.27,0.53,0.56,0.33,0.84,0.48,0.78,0.34
neighborhood75,0.51,0.85,0.35,0.84,0.89,0.81,0.88,0.47,0.87,0.09,0.40,0.43,0.16,0.82,0.12,0.28
neighborhood76,0.34,0.79,0.13,0.12,0.51,0.54,0.93,0.68,0.57,0.12,0.95,0.51,0.01,0.71,0.43,0.38
neighborhood77,0.85,0.90,0.66,0.98,0.25,0.90,0.54,0.50,0.36,0.22,0.50,0.24,0.27,0.68,0.21,0.91
neighborhood78,0.69,0.72,0.79,0.94,0.08,0.29,0.44,0.15,0.72,0.73,0.71,0.73,0.82,0.05,0.96,0.94
neighborhood79,0.54,0.66,0.06,0.16,0.84,0.10,0.49,0.50,0.35,0.53,0.74,0.95,0.60,0.19,0.62,0.73
neighborhood80,0.20,0.84,0.09,0.08,0.64,0.70,0.63,0.01,0.94,0.46,0.28,0.12,0.12,0.30,0.16,0.71
neighborhood81,0.20,0.78,0.87,0.81,0.49,0.21,0.65,0.14,0.36,0.13,0.99,0.71,0.19,0.91,0.85,0.79
neighborhood82,0.41,0.28,0.55,0.97,0.34,0.23,0.30,0.89,0.13,0.60,0.34,0.27,0.46,0.45,0.58,0.98
neighborhood83,0.86,0.71,0.82,0.69,0.84,0.03,0.78,0.52,0.86,0.09,0.50,0.43,0.70,0.35,0.75,0.15
neighborhood84,0.86,0.43,0.97,0.55,0.56,0.63,0.61,0.61,0.92,0.03,0.21,0.06,0.87,0.49,0.77,0.23
neighborhood85,0.87,0.24,0.02,0.17,0.27,0.17,0.80,0.66,0.54,0.23,0.95,0.58,1.00,0.57,0.35,0.35
neighborhood86,0.81,0.66,0.11,0.45,0.77,0.09,0.81,0.30,0.11,0.47,0.90,1.00,0.87,0.29,0.60,0.14
neighborhood87,0.66,0.92,0.49,0.25,0.46,0.75,0.79,0.83,0.78,0.89,0.47,0.23,0.30,0.18,0.18,0.10
neighborhood88,0.04,0.39,0.99,0.18,0.53,0.02,0.04,0.58,0.22,0.40,0.16,0.99,0.09,0.39,0.99,0.97
neighborhood89,0.47,0.64,0.78,0.20,0.26,0.67,0.11,0.48,0.72,0.35,0.74,0.23,0.76,0.80,0.85,0.88
neighborhood90,0.70,0.66,0.62,0.54,0.13,0.86,0.30,0.90,0.52,0.12,0.04,0.14,0.69,0.89,0.64,0.92
neighborhood91,0.80,0.49,0.78,0.97,0.90,0.86,0.76,0.23,0.57,0.47,0.04,0.03,0.68,0.14,0.01,0.00
neighborhood92,0.09,0.94,0.23,0.69,0.86,0.12,0.63,0.77,0.02,0.00,0.10,0.49,0.40,0.03,0.82,0.17
neighborhood93,0.16,0.01,0.74,1.00,0.43,0.53,0.59,0.19,0.08,0.93,0.92,0.62,0.06,0.54,0.43,0.82
neighborhood94,0.82,0.06,0.80,0.43,0.99,0.33,0.10,0.45,0.10,0.50,0.17,0.93,0.68,0.67,0.36,0.08
neighborhood95,0.73,0.55,0.57,0.67,0.34,0.75,0.20,0.86,0.19,0.39,0.65,0.30,0.83,0.92,0.30,0.28
neighborhood96,0.36,0.84,0.10,0.58,0.30,0.77,0.27,0.47,0.47,0.86,0.52,0.12,0.94,0.44,0.01,0.71
neighborhood97,0.93,0.74,0.22,0.20,0.22,0.78,0.39,0.23,0.17,0.07,0.78,0.89,0.22,0.79,0.74,0.23
neighborhood98,0.50,0.11,0.33,0.77,0.25,0.79,0.10,0.77,0.56,0.17,0.92,0.11,0.61,0.45,0.41,0.46
neighborhood99,0.86,0.60,0.45,0.05,0.68,0.50,0.16,0.17,0.57,0.81,0.99,0.06,0.18,0.00,0.33,0.95
neighborhood100,0.14,0.15,1.00,0.67,0.99,0.38,0.47,0.15,0.78,0.94,0.40,0.05,0.47,0.13,0.94,0.78
neighborhood101,0.84,0.78,0.57,0.89,0.36,0.57,0.07,0.38,0.05,0.37,0.29,0.86,0.18,0.53,0.41,0.33
neighborhood102,0.07,0.82,0.01,0.79,0.79,0.30,0.97,0.09,0.38,0.44,0.28,0.66,0.62,0.78,0.46,0.96
neighborhood103,0.90,0.98,0.69,0.71,0.43,0.25,0.32,0.74,0.58,0.05,0.31,0.90,0.16,0.95,0.38,0.86
neighborhood104,0.13,0.61,0.01,1.00,0.72,0.66,0.67,0.28,0.56,0.34,0.40,0.20,0.08,0.31,0.38,0.37
neighborhood105,0.78,0.88,0.78,0.86,0.34,0.61,0.89,0.67,0.53,0.00,0.82,0.74,0.68,0.57,0.42,0.47
neighborhood106,0.88,0.57,0.66,0.59,0.01,0.03,0.34,0.40,0.99,0.77,0.73,0.25,0.47,0.05,0.67,0.65
neighborhood107,0.37,0.91,0.72,0.43,0.06,0.24,0.00,0.48,0.22,0.27,0.35,0.52,0.76,0.72,0.02,0.92
neighborhood108,0.96,0.89,0.55,0.56,0.38,0.13,0.82,0.26,0.80,0.36,0.24,0.55,0.55,0.51,0.11,0.55
neighborhood109,0.64,0.94,0.68,0.88,0.97,0.29,0.69,0.47,0.57,0.67,0.46,0.88,0.84,0.60,0.79,0.24
neighborhood110,0.09,0.13,0.88,0.62,0.44,0.97,0.37,0.85,0.32,0.99,0.01,0.78,0.74,0.78,0.02,0.16
neighborhood111,0.35,0.94,0.31,0.78,0.38,0.56,0.89,0.83,0.99,0.25,0.68,0.67,0.63,0.58,0.13,0.55
neighborhood112,0.64,0.85,0.90,0.52,0.32,0.57,0.90,0.35,0.09,0.75,0.49,0.41,0.32,0.53,0.52,0.46
neighborhood113,0.99,0.68,0.89,0.85,0.89,0.45,0.08,0.74,0.95,0.25,0.32,0.82,0.77,0.89,0.39,0.21
neighborhood114,0.33,0.46,0.02,0.47,0.30,0.64,0.48,0.06,0.92,0.57,0.01,0.50,0.55,0.79,0.60,0.59
neighborhood115,0.54,0.52,0.43,0.79,0.97,0.99,0.05,0.99,0.15,0.61,0.69,0.22,0.39,0.60,0.59,0.07
neighborhood116,0.72,0.94,0.13,0.60,0.18,0.13,0.61,0.46,0.49,0.40,0.70,0.54,0.62,0.67,0.54,0.50
neighborhood117,0.13,0.54,0.47,0.72,0.19,0.58,0.36,0.92,0.45,0.42,0.29,0.03,0.94,0.71,0.60,0.39
neighborhood118,0.90,0.77,0.26,0.61,0.79,0.55,0.68,1.00,0.69,0.17,0.78,0.43,0.01,0.33,0.48,0.35
neighborhood119,0.35,0.81,0.09,0.63,0.95,0.90,0.35,0.99,0.03,0.66,0.82,0.87,0.01,0.57,0.67,0.31
neighborhood120,0.03,0.10,0.15,0.60,0.83,0.76,0.24,0.52,0.19,0.49,0.76,0.91,0.30,0.20,0.61,0.03
neighborhood121,0.12,0.94,0.31,0.31,0.72,0.04,0.78,0.96,0.83,0.60,0.14,0.55,0.43,0.97,0.41,0.01
neighborhood122,0.09,0.05,0.18,0.16,0.21,0.16,0.64,0.63,0.30,0.40,0.78,0.86,0.86,0.85,0.16,0.96
neighborhood123,0.41,0.68,0.78,0.20,0.74,0.46,0.20,0.18,0.40,0.95,0.61,0.01,0.67,0.69,0.52,0.91
neighborhood124,0.09,0.91,0.96,0.31,0.80,0.61,0.36,0.08,0.45,0.48,0.21,0.15,0.13,0.44,0.86,0.35
neighborhood125,0.22,0.04,0.69,0.84,0.70,0.61,0.69,0.08,0.21,0.48,0.76,0.56,0.39,0.84,0.13,0.92
neighborhood126,0.43,0.11,0.53,0.24,0.18,0.39,0.42,0.04,0.25,0.94,0.30,0.49,0.73,0.77,0.91,0.74
neighborhood127,0.82,0.65,0.53,0.88,0.16,0.80,0.57,0.41,0.35,0.60,0.63,0.03,0.91,0.07,0.48,0.52
neighborhood128,0.14,0.30,0.59,0.05,0.24,0.16,0.33,0.25,0.20,0.92,0.50,0.32,0.42,0.39,0.72,0.79
neighborhood129,0.29,0.89,0.81,0.95,0.70,0.83,0.18,0.66,0.17,0.88,0.66,0.62,0.97,0.41,0.50,0.34
neighborhood130,0.03,0.47,0.37,0.18,0.68,0.59,0.75,0.14,0.32,0.51,0.01,0.16,0.22,0.20,0.42,0.51
neighborhood131,0.83,0.47,0.23,0.47,0.92,0.63,0.48,0.66,0.39,0.51,0.47,0.45,0.78,0.67,0.67,0.28
neighborhood132,0.03,0.34,0.53,0.89,0.57,0.68,0.05,0.64,0.94,0.34,0.40,0.94,0.27,0.57,0.01,0.71
neighborhood133,0.51,0.98,0.38,0.73,0.33,0.47,0.17,0.14,0.64,0.77,0.51,0.29,0.35,0.76,1.00,0.35
neighborhood134,0.96,0.17,0.33,0.57,0.40,0.63,0.23,0.89,0.80,0.92,0.44,0.32,0.70,0.61,0.86,0.14
neighborhood135,0.18,0.09,0.14,0.19,0.46,0.77,0.18,0.75,0.45,0.96,0.33,0.86,0.02,0.96,0.54,0.59
neighborhood136,0.11,0.45,0.01,0.31,0.61,0.35,0.32,0.04,0.97,0.38,0.64,0.71,0.23,0.74,0.53,0.72
neighborhood137,0.80,0.99,0.56,0.06,0.76,0.45,0.77,0.56,0.69,0.33,0.28,0.18,0.10,0.80,0.00,0.99
neighborhood138,0.93,0.28,0.18,0.38,0.71,0.48,0.98,0.95,0.87,0.47,0.40,0.91,0.39,0.40,0.39,0.55
neighborhood139,0.57,0.93,0.95,0.24,0.61,0.05,0.19,0.75,0.88,0.69,0.11,0.74,0.20,0.82,0.65,0.28
neighborhood140,0.09,0.30,0.52,0.41,0.05,0.76,0.76,0.77,0.37,0.79,0.57,0.91,0.79,0.93,0.59,0.53
neighborhood141,0.63,0.40,0.98,0.90,0.86,0.81,0.40,0.93,0.79,0.17,0.92,0.77,0.60,0.34,0.58,0.24
neighborhood142,0.79,0.14,0.53,0.96,0.31,0.11,0.62,0.74,0.01,0.55,0.84,0.52,0.17,0.34,0.97,0.33
neighborhood143,0.49,0.12,0.40,0.83,0.42,0.57,0.15,0.60,0.10,0.74,0.60,0.91,0.55,0.29,0.54,0.95
neighborhood144,0.82,0.19,0.71,0.30,0.53,0.65,0.45,0.11,0.61,0.07,0.67,0.23,0.61,0.21,0.93,0.14
neighborhood145,0.42,0.60,0.84,0.95,0.91,0.51,0.45,0.11,0.04,0.77,0.57,0.54,0.26,0.29,0.81,0.60
neighborhood146,0.56,0.95,0.34,0.74,0.14,0.21,0.17,0.00,0.46,0.90,0.04,0.36,0.58,0.95,0.13,0.02
neighborhood147,0.85,0.72,0.01,0.78,0.95,0.37,0.04,0.30,0.87,0.48,0.86,0.30,0.23,0.29,0.43,0.00
neighborhood148,0.69,0.31,0.47,0.76,0.30,0.33,0.75,0.50,0.73,0.31,0.16,0.77,0.72,0.28,0.68,0.59
neighborhood149,0.45,0.07,0.34,0.40,0.17,0.27,0.57,0.25,0.95,0.97,0.75,0.88,0.74,0.42,0.16,0.82
neighborhood150,0.63,0.22,0.62,0.25,0.88,0.35,0.02,0.17,0.34,0.04,0.80,0.54,0.65,0.28,0.56,0.72
neighborhood151,0.33,0.72,0.41,0.81,0.72,0.79,0.92,0.97,0.58,0.24,0.03,0.49,0.91,0.40,0.72,0.28
neighborhood152,0.81,0.80,0.51,0.37,0.57,0.28,0.51,0.75,0.66,0.89,0.85,0.87,0.85,0.91,0.86,0.66
neighborhood153,0.83,0.61,0.55,0.00,0.16,0.26,0.46,0.52,0.67,0.24,0.43,0.39,0.71,0.68,0.48,0.92
neighborhood154,0.16,0.47,0.45,0.33,0.95,0.65,0.83,0.71,0.02,0.04,0.27,0.61,0.42,0.13,0.47,0.62
neighborhood155,0.38,0.40,0.55,0.12,0.52,0.23,0.67,0.09,0.47,0.04,0.58,0.14,0.06,0.17,0.16,0.17
neighborhood156,0.44,0.11,0.82,0.92,0.26,0.65,0.98,0.59,0.22,0.98,0.34,0.21,0.20,0.88,0.28,0.67
neighborhood157,0.88,0.43,0.77,0.34,0.50,0.14,0.45,0.15,0.10,0.78,0.43,0.72,0.78,0.98,0.42,0.95
neighborhood158,0.16,0.96,0.01,0.51,0.96,0.78,0.59,0.44,0.98,0.96,0.78,0.76,0.95,0.83,0.39,0.04
neighborhood159,0.15,0.03,0.80,0.85,0.92,0.18,0.36,0.43,0.85,0.17,0.45,0.42,0.18,0.24,0.99,0.69
neighborhood160,0.84,0.05,0.51,0.99,0.83,0.44,0.72,0.09,0.50,0.39,0.47,0.72,0.38,0.18,0.10,0.31
neighborhood161,0.82,0.11,0.38,0.02,0.31,0.36,0.47,0.46,0.16,0.79,0.04,0.69,0.22,0.73,0.24,0.70
neighborhood162,0.50,0.70,0.89,0.35,0.73,0.44,0.88,0.70,0.62,0.80,0.18,0.15,0.19,0.29,0.73,0.53
neighborhood163,0.68,0.71,0.07,0.87,0.17,0.08,0.57,0.04,0.05,0.25,0.83,0.31,0.17,0.23,0.04,0.91
neighborhood164,0.75,0.33,0.50,0.12,0.89,0.87,0.89,0.37,0.93,0.47,0.93,0.90,0.97,0.76,0.46,0.57
neighborhood165,0.62,0.48,0.20,0.89,0.84,0.33,0.17,0.48,0.33,0.15,0.35,0.92,0.69,0.31,0.79,0.04
neighborhood166,0.37,0.28,0.16,0.57,0.99,0.50,0.35,0.25,0.79,0.18,0.73,0.08,0.59,0.28,0.42,0.99
neighborhood167,0.82,0.12,0.56,0.87,0.98,0.21,0.38,0.36,0.00,0.64,0.05,0.25,0.97,0.33,0.40,0.36
neighborhood168,0.21,0.95,0.61,0.15,0.17,0.87,0.27,0.17,0.50,0.54,0.83,0.79,0.65,0.08,0.11,0.98
neighborhood169,0.09,0.01,0.05,0.81,0.97,0.49,0.80,0.17,0.83,0.11,0.42,0.81,0.97,0.84,0.46,0.73
neighborhood170,0.84,0.75,0.72,0.09,0.13,0.64,0.60,0.18,0.21,0.10,0.97,0.17,0.67,0.31,0.31,0.87
neighborhood171,0.21,0.75,0.72,0.42,0.24,0.72,0.56,0.19,0.76,0.00,0.05,0.01,0.13,0.72,0.21,0.79
neighborhood172,0.06,0.10,0.03,0.11,0.74,0.96,0.79,0.31,0.80,0.52,0.58,0.45,0.09,0.69,0.26,0.42
neighborhood173,0.71,0.81,0.82,0.32,0.47,0.65,0.79,0.71,0.56,0.13,0.92,0.75,0.78,0.44,0.20,0.71
neighborhood174,0.79,0.52,0.77,0.23,0.70,0.11,0.45,0.59,0.87,0.01,0.96,0.80,0.26,0.46,0.67,0.14
neighborhood175,0.51,0.75,0.86,0.66,0.95,0.69,0.75,0.52,0.34,0.68,0.80,0.30,0.15,0.40,0.69,0.48
neighborhood176,0.68,0.08,0.54,0.65,0.31,0.10,0.63,0.96,0.37,0.98,0.60,0.41,0.49,0.57,0.43,0.49
neighborhood177,0.43,0.03,0.56,0.58,0.94,0.25,0.80,0.02,0.57,0.14,0.77,0.26,0.64,0.69,0.16,0.71
neighborhood178,0.31,0.60,0.60,0.36,0.50,0.88,0.43,0.98,0.91,0.39,0.09,0.84,0.35,0.17,0.76,0.26
neighborhood179,0.88,0.90,0.56,0.98,0.30,0.66,0.13,0.16,0.65,0.12,0.24,0.44,0.25,0.98,0.54,0.98
neighborhood180,0.70,0.65,0.16,0.85,0.23,0.59,0.74,0.86,0.58,0.40,0.08,0.46,0.12,0.36,0.26,0.20
neighborhood181,0.50,0.23,0.79,0.01,0.51,0.76,0.49,0.37,0.17,0.49,0.97,0.51,0.39,0.99,0.22,0.93
neighborhood182,0.71,0.27,0.48,0.16,0.98,0.04,0.09,0.34,0.39,0.17,1.00,0.17,0.20,0.66,0.17,0.58
neighborhood183,0.82,0.33,0.38,0.62,0.98,0.61,0.77,0.36,0.05,0.08,0.08,0.37,0.39,0.35,0.73,0.20
neighborhood184,0.90,0.45,0.50,0.95,0.59,0.15,0.60,0.66,0.14,0.81,0.74,0.87,0.85,0.38,0.24,0.22
neighborhood185,0.80,0.34,0.11,0.56,0.75,0.39,0.63,0.81,0.21,0.53,0.89,0.16,0.00,0.67,0.74,0.66
neighborhood186,0.34,0.24,0.75,0.98,0.57,0.38,0.87,0.23,0.15,0.86,0.85,0.67,0.38,0.12,0.47,0.39
neighborhood187,0.01,0.13,0.11,0.01,0.62,0.25,0.47,0.54,0.83,0.53,0.55,0.26,0.63,0.46,0.77,0.59
neighborhood188,0.28,0.85,0.95,0.37,0.35,0.83,0.95,0.21,0.99,0.82,0.79,0.83,0.84,0.61,0.53,0.74
neighborhood189,0.34,0.16,0.84,0.63,0.73,0.41,0.06,0.06,0.69,0.06,0.27,0.57,0.05,0.12,0.20,0.46
neighborhood190,0.49,0.57,0.38,0.52,0.09,0.38,0.11,0.61,0.80,0.94,0.22,0.37,0.56,0.29,0.56,0.83
neighborhood191,0.30,0.76,0.59,0.04,0.28,0.87,0.06,0.98,0.17,0.75,0.44,0.62,0.90,0.82,0.68,0.98
neighborhood192,0.70,0.15,0.21,0.12,0.12,0.24,0.75,0.25,0.11,0.08,0.49,0.09,0.98,0.56,0.70,0.50
neighborhood193,0.71,0.96,0.03,0.91,0.59,0.56,0.42,0.49,0.55,0.15,0.66,0.76,0.35,0.55,0.87,0.79
neighborhood194,0.53,0.83,0.33,0.14,0.18,0.20,0.98,0.66,0.79,0.15,0.87,0.76,0.88,0.36,0.36,0.01
